Identifiant;Type Objet;Modèle;N° Voie Pair;N° Voie Impair;Voie;Commune;Disponibilité;Début Indisponibilité;Fin Indisponibilité;Motif Indisponibilité;geo_shape;geo_point_2d
450072577;FONTAINE_BOIS;GHM Bois;;;PARC DES BUTTES CHAUMONT;PARIS 19EME ARRONDISSEMENT;NON;2021-11-24T02:00:00+01:00;2022-04-30T04:00:00+02:00;FERMETURE HIVERNALE;"{""coordinates"": [2.380547782409265, 48.876757207672625], ""type"": ""Point""}";48.876757207672625,2.380547782409265
450070533;FONTAINE_BOIS;Ville de Paris Bois;;;CHEMIN CEINTURE LAC INFERIEUR;PARIS 16EME ARRONDISSEMENT;NON;2021-12-03T02:00:00+01:00;2022-04-30T04:00:00+02:00;FERMETURE HIVERNALE;"{""coordinates"": [2.261678369031171, 48.8620788715343], ""type"": ""Point""}";48.8620788715343,2.261678369031171
450071928;FONTAINE_BOIS;Fontaine des Bois, Parcs et Jardins;;;SQUARE FREDERICK LEMAITRE;PARIS 10EME ARRONDISSEMENT;NON;2021-11-22T02:00:00+01:00;2022-04-30T04:00:00+02:00;FERMETURE HIVERNALE;"{""coordinates"": [2.366698258792237, 48.86930075918309], ""type"": ""Point""}";48.86930075918309,2.366698258792237
450072427;FONTAINE_BOIS;GHM Bois;;;PLACE RODIN;PARIS 16EME ARRONDISSEMENT;OUI;;;;"{""coordinates"": [2.270792828167213, 48.85313157872404], ""type"": ""Point""}";48.85313157872404,2.270792828167213
450072432;FONTAINE_BOIS;GHM Bois;;;AVENUE EDOUARD VAILLANT;PARIS 16EME ARRONDISSEMENT;OUI;;;;"{""coordinates"": [2.255179816287923, 48.83558102725832], ""type"": ""Point""}";48.83558102725832,2.255179816287923
450072464;FONTAINE_BOIS;Fontaine des Bois, Parcs et Jardins;;145 FACE;RUE CARDINET;PARIS 17EME ARRONDISSEMENT;OUI;;;;"{""coordinates"": [2.315586293075625, 48.887940516003646], ""type"": ""Point""}";48.887940516003646,2.315586293075625
450072627;FONTAINE_BOIS;GHM Bois;;;RUE D EUPATORIA;PARIS 20EME ARRONDISSEMENT;NON;2021-11-23T02:00:00+01:00;2022-04-30T04:00:00+02:00;FERMETURE HIVERNALE;"{""coordinates"": [2.388145007035095, 48.868945382229285], ""type"": ""Point""}";48.868945382229285,2.388145007035095
450072628;FONTAINE_BOIS;Bayard BF3;;;JARDIN SAMUEL DE CHAMPLAIN;PARIS 20EME ARRONDISSEMENT;OUI;;;;"{""coordinates"": [2.392262391262186, 48.86393168187935], ""type"": ""Point""}";48.86393168187935,2.392262391262186
450072409;FONTAINE_BOIS;Fontaine des Bois, Parcs et Jardins;;;PLACE DES ETATS UNIS;PARIS 16EME ARRONDISSEMENT;NON;2021-11-26T02:00:00+01:00;2022-04-30T04:00:00+02:00;FERMETURE HIVERNALE;"{""coordinates"": [2.294684210560234, 48.86780511482545], ""type"": ""Point""}";48.86780511482545,2.294684210560234
450072148;FONTAINE_BOIS;GHM Bois;;;JARDIN EMILE GALLE;PARIS 11EME ARRONDISSEMENT;NON;2021-11-23T02:00:00+01:00;2022-04-30T04:00:00+02:00;FERMETURE HIVERNALE;"{""coordinates"": [2.390966228145412, 48.85367129718268], ""type"": ""Point""}";48.85367129718268,2.390966228145412
