Adresse;Nom du site;Code postal;Nombre de bornes;Etat du site;Code Site;geo_shape;geo_point_2d
14-16 AVENUE RENE BOYLESVE;MAISON DE LA VIE ASSOCIATIVE ET CITOYENNE 16;75016;2;Opérationnel;PW0041;"{""coordinates"": [2.283836733756715, 48.856750474464604], ""type"": ""Point""}";48.856750474464604,2.283836733756715
20 RUE MUSSET;BIBLIOTHEQUE MUSSET;75016;1;Opérationnel;PW0140;"{""coordinates"": [2.263539698646935, 48.84208223736807], ""type"": ""Point""}";48.84208223736807,2.263539698646935
47 RUE RAYNOUARD;MUSEE BALZAC;75016;10;Opérationnel;PW0202;"{""coordinates"": [2.280717716603592, 48.855393597560735], ""type"": ""Point""}";48.855393597560735,2.280717716603592
18 RUE DES BATIGNOLLES;BIBLIOTHEQUE BATIGNOLLES;75017;1;Opérationnel;PW0133;"{""coordinates"": [2.322120945442446, 48.88475451404929], ""type"": ""Point""}";48.88475451404929,2.322120945442446
6 AVENUE DE LA PORTE DE CLICHY;CENTRE SPORTIF LEON BIANCOTTO;75017;1;Opérationnel;PW0098;"{""coordinates"": [2.311830475367834, 48.895768234519906], ""type"": ""Point""}";48.895768234519906,2.311830475367834
11 RUE NICOLAS CHUQUET;BIBLIOTHEQUE EDMOND ROSTAND;75017;3;Opérationnel;PW0104;"{""coordinates"": [2.303089705679941, 48.888394359209], ""type"": ""Point""}";48.888394359209,2.303089705679941
16/20 RUE DES BATIGNOLLES;MAIRIE DU 17 EME;75017;2;Opérationnel;PW0016;"{""coordinates"": [2.321834360309547, 48.88449376861104], ""type"": ""Point""}";48.88449376861104,2.321834360309547
25 RUE LANTIEZ;MAISON DE LA VIE ASSOCIATIVE ET CITOYENNE  17;75017;1;Opérationnel;PW0042;"{""coordinates"": [2.323751423106822, 48.89503066621169], ""type"": ""Point""}";48.89503066621169,2.323751423106822
79 RUE DE LA JONQUIERE;PISCINE BERNARD LAFAY;75017;1;Opérationnel;PW0100;"{""coordinates"": [2.318817242332568, 48.89464799028464], ""type"": ""Point""}";48.89464799028464,2.318817242332568
17 BOULEVARD DE REIMS;SQUARE ANDRE ULMANN;75017;1;Opérationnel;PW0166;"{""coordinates"": [2.298941389477171, 48.889900397604244], ""type"": ""Point""}";48.889900397604244,2.298941389477171
6 RUE FOURNEYRON;BIBLIOTHEQUE COLETTE VIVIER;75017;1;Opérationnel;PW0003;"{""coordinates"": [2.31964337343766, 48.889783335019025], ""type"": ""Point""}";48.889783335019025,2.31964337343766
54 BOULEVARD NEY;ESPACE GLISSE DES FILLETTES;75018;1;Opérationnel;PW0093;"{""coordinates"": [2.363506935109957, 48.89875981393057], ""type"": ""Point""}";48.89875981393057,2.363506935109957
16-30 AVENUE DE LA PORTE MONTMARTRE;BIBLIOTHEQUE JACQUELINE DE ROMILLY;75018;2;Opérationnel;PW0198;"{""coordinates"": [2.335873500895438, 48.9003798743325], ""type"": ""Point""}";48.9003798743325,2.335873500895438
FACE AU 133 RUE BELLIARD;KIOSQUE CITOYEN 18;75018;1;Opérationnel;PW0249;"{""coordinates"": [2.334660151483012, 48.89635773480957], ""type"": ""Point""}";48.89635773480957,2.334660151483012
2 RUE JEAN COCTEAU;CENTRE SPORTIF POISSONNIERS;75018;1;Fermé pour travaux;PW0091;"{""coordinates"": [2.351991975265798, 48.899685926165404], ""type"": ""Point""}";48.899685926165404,2.351991975265798
12 RUE RENE BINET;CENTRE SPORTIF BERTRAND DAUVIN;75018;1;Opérationnel;PW0089;"{""coordinates"": [2.3420540980918902, 48.89948663873551], ""type"": ""Point""}";48.89948663873551,2.3420540980918902
15 PASSAGE RAMEY;MAISON DE LA VIE ASSOCIATIVE ET CITOYENNE 18;75018;3;Opérationnel;PW0032;"{""coordinates"": [2.347335497120627, 48.890069083043606], ""type"": ""Point""}";48.890069083043606,2.347335497120627
18B RUE DU DEPARTEMENT;JARDIN D EOLE - 2;75018;2;Opérationnel;PW0170-1;"{""coordinates"": [2.365047829562393, 48.88583365457024], ""type"": ""Point""}";48.88583365457024,2.365047829562393
1 PLACE JULES JOFFRIN;MAIRIE DU 18 EME;75018;1;Opérationnel;PW0023;"{""coordinates"": [2.3446872129632013, 48.89230355785122], ""type"": ""Point""}";48.89230355785122,2.3446872129632013
29 RUE HERMEL;BIBLIOTHEQUE ROBERT SABATIER;75018;5;Opérationnel;PW0236;"{""coordinates"": [2.344436320114187, 48.89153632102746], ""type"": ""Point""}";48.89153632102746,2.344436320114187
18B RUE DU DEPARTEMENT;JARDIN D EOLE - 1;75018;2;Opérationnel;PW0170;"{""coordinates"": [2.365475797194539, 48.886450569436604], ""type"": ""Point""}";48.886450569436604,2.365475797194539
26B RUE PAJOL;BIBLIOTHEQUE VACLAV HAVEL;75018;4;Opérationnel;PW0009;"{""coordinates"": [2.363209973631121, 48.890106154134955], ""type"": ""Point""}";48.890106154134955,2.363209973631121
22T RUE PAJOL;CENTRE SPORTIF ZAC PAJOL;75018;1;Opérationnel;PW0092;"{""coordinates"": [2.3630676012052962, 48.88959479724705], ""type"": ""Point""}";48.88959479724705,2.3630676012052962
19 RUE TRISTAN TZARA;BIBLIOTHEQUE MAURICE GENEVOIX;75018;1;Opérationnel;PW0007;"{""coordinates"": [2.363900713494337, 48.8949645929562], ""type"": ""Point""}";48.8949645929562,2.363900713494337
2-4 RUE FLEURY;BIBLIOTHEQUE GOUTTE D OR;75018;4;Opérationnel;PW0006;"{""coordinates"": [2.3541416014207712, 48.88446312981792], ""type"": ""Point""}";48.88446312981792,2.3541416014207712
20 RUE EDOUARD PAILLERON;MAISON DE LA VIE ASSOCIATIVE ET CITOYENNE  19;75019;1;Opérationnel;PW0033;"{""coordinates"": [2.376545106225318, 48.880406153498086], ""type"": ""Point""}";48.880406153498086,2.376545106225318
18 RUE JANSSEN;BIBLIOTHEQUE PLACE DES FETES;75019;3;Opérationnel;PW0008;"{""coordinates"": [2.397637583708677, 48.87936484092137], ""type"": ""Point""}";48.87936484092137,2.397637583708677
37 ROUTE DES PETITS PONTS;CENTRE SPORTIF JULES LADOUMEGUE;75019;1;Opérationnel;PW0083;"{""coordinates"": [2.397787506964459, 48.89300517697759], ""type"": ""Point""}";48.89300517697759,2.397787506964459
5 PLACE ARMAND CARREL;MAIRIE DU 19 EME;75019;1;Opérationnel;PW0017;"{""coordinates"": [2.381917974125571, 48.88279457828256], ""type"": ""Point""}";48.88279457828256,2.381917974125571
1 RUE BOTZARIS;PARC DES BUTTES CHAUMONT - VILLETTE;75019;1;Opérationnel;PW0159;"{""coordinates"": [2.388327637394474, 48.879681746818164], ""type"": ""Point""}";48.879681746818164,2.388327637394474
1B RUE DE LA MARSEILLAISE;SQUARE DE LA MARSEILLAISE;75019;1;Opérationnel;PW0064;"{""coordinates"": [2.398062243029121, 48.887286841813356], ""type"": ""Point""}";48.887286841813356,2.398062243029121
114 AVENUE DE FLANDRE;EPI FLANDRE;75019;1;Opérationnel;PW0234;"{""coordinates"": [2.378918028566611, 48.891953718779206], ""type"": ""Point""}";48.891953718779206,2.378918028566611
18 BOULEVARD SERURIER;ARCHIVES DE PARIS;75019;1;Opérationnel;PW0246;"{""coordinates"": [2.4058081248559793, 48.87803821682543], ""type"": ""Point""}";48.87803821682543,2.4058081248559793
1 RUE BOTZARIS;PARC DES BUTTES CHAUMONT - BOLIVAR;75019;1;Opérationnel;PW0159-1;"{""coordinates"": [2.381017420133907, 48.87647305121453], ""type"": ""Point""}";48.87647305121453,2.381017420133907
15 RUE DE LA MARSEILLAISE;PREFOURRIERE PANTIN;75019;1;Opérationnel;PW0231;"{""coordinates"": [2.398020912550891, 48.88861651829492], ""type"": ""Point""}";48.88861651829492,2.398020912550891
5 RUE DES LILAS;CENTRE SPORTIF DES LILAS;75019;1;Opérationnel;PW0081;"{""coordinates"": [2.395421266947553, 48.87790680084419], ""type"": ""Point""}";48.87790680084419,2.395421266947553
6 RUE FESSART;BIBLIOTHEQUE FESSART;75019;1;Opérationnel;PW0005;"{""coordinates"": [2.388184228076371, 48.87626878314261], ""type"": ""Point""}";48.87626878314261,2.388184228076371
4 PLACE ARMAND CARREL;PARC DES BUTTES CHAUMONT - CARREL;75019;2;Opérationnel;PW0182;"{""coordinates"": [2.38270542559956, 48.88279406334443], ""type"": ""Point""}";48.88279406334443,2.38270542559956
3 RUE BOTZARIS;PARC DES BUTTES CHAUMONT - FESSARD;75019;3;Opérationnel;PW0159-2;"{""coordinates"": [2.381090100033082, 48.8779490325857], ""type"": ""Point""}";48.8779490325857,2.381090100033082
176 BOULEVARD MACDONALD;SQUARE CLAUDE BERNARD;75019;1;Opérationnel;PW0209;"{""coordinates"": [2.381583528155401, 48.898295887695575], ""type"": ""Point""}";48.898295887695575,2.381583528155401
42-44 RUE PETIT;BIBLIOTHEQUE CRIMEE;75019;1;Opérationnel;PW0004;"{""coordinates"": [2.383050187514214, 48.88488201636432], ""type"": ""Point""}";48.88488201636432,2.383050187514214
PLACE DES FETES;CAPLA PLACE DES FETES;75019;1;Opérationnel;PW0242;"{""coordinates"": [2.39380457726503, 48.87680703227946], ""type"": ""Point""}";48.87680703227946,2.39380457726503
141 AVENUE DE FLANDRE;BIBLIOTHEQUE BENJAMIN RABIER;75019;2;Opérationnel;PW0001;"{""coordinates"": [2.379122839458274, 48.89276109370963], ""type"": ""Point""}";48.89276109370963,2.379122839458274
35-45 AVENUE DE FLANDRE;BIBLIOTHEQUE CLAUDE LEVI STRAUSS;75019;2;Opérationnel;PW0002;"{""coordinates"": [2.371473050466415, 48.88676697087047], ""type"": ""Point""}";48.88676697087047,2.371473050466415
2 RUE DU DEPARTEMENT;BIBLIOTHEQUE HERGE;75019;1;Opérationnel;PW0139;"{""coordinates"": [2.367235014082817, 48.885013626409254], ""type"": ""Point""}";48.885013626409254,2.367235014082817
2 RUE PIERRE REVERDY;SQUARE MARCEL MOULOUDJI;75019;1;Opérationnel;PW0167;"{""coordinates"": [2.376354191052253, 48.88527540480052], ""type"": ""Point""}";48.88527540480052,2.376354191052253
41 QUAI DE LA LOIRE;BASE NAUTIQUE DE LA VILLETTE;75019;1;Opérationnel;PW0078;"{""coordinates"": [2.378891594800032, 48.88752363166016], ""type"": ""Point""}";48.88752363166016,2.378891594800032
109-115 RUE DE BAGNOLET;BIBLIOTHEQUE MARGUERITE DURAS;75020;11;Opérationnel;PW0045;"{""coordinates"": [2.403226998544119, 48.85983876871812], ""type"": ""Point""}";48.85983876871812,2.403226998544119
45 RUE DES COURONNES;PARC DE BELLEVILLE - 1;75020;1;Opérationnel;PW0057;"{""coordinates"": [2.384237750061385, 48.870590463867536], ""type"": ""Point""}";48.870590463867536,2.384237750061385
296 RUE DES PYRENEES;CENTRE SPORTIF PYRENEES;75020;1;Opérationnel;PW0072;"{""coordinates"": [2.392302500371264, 48.8719533728045], ""type"": ""Point""}";48.8719533728045,2.392302500371264
29/35 RUE DES HAIES;BIBLIOTHEQUE LOUISE MICHEL;75020;2;Opérationnel;PW0130;"{""coordinates"": [2.401212788267676, 48.85329554638978], ""type"": ""Point""}";48.85329554638978,2.401212788267676
83-91 RUE DES HAIES;GYMNASE VIGNOLES EST;75020;1;Opérationnel;PW0073;"{""coordinates"": [2.403902885604971, 48.85524049982195], ""type"": ""Point""}";48.85524049982195,2.403902885604971
30 RUE LOUIS LUMIERE;CENTRE SPORTIF LOUIS LUMIERE;75020;1;Opérationnel;PW0105;"{""coordinates"": [2.411645684536093, 48.85919821308154], ""type"": ""Point""}";48.85919821308154,2.411645684536093
18 RUE RAMUS;MAISON DE LA VIE ASSOCIATIVE ET CITOYENNE 20;75020;2;Opérationnel;PW0187;"{""coordinates"": [2.3987890642197662, 48.86270432644075], ""type"": ""Point""}";48.86270432644075,2.3987890642197662
17 RUE SORBIER;BIBLIOTHEQUE SORBIER;75020;2;Opérationnel;PW0129;"{""coordinates"": [2.392851974569112, 48.86596158237579], ""type"": ""Point""}";48.86596158237579,2.392851974569112
1 RUE REYNALDO HAHN;BIBLIOTHEQUE ASSIA DJEBARD;75020;6;Opérationnel;PW0144;"{""coordinates"": [2.412098158335315, 48.84923399718691], ""type"": ""Point""}";48.84923399718691,2.412098158335315
66 RUE DES COURONNES;BIBLIOTHEQUE NAGUIB MAHFOUZ;75020;1;Opérationnel;PW0048;"{""coordinates"": [2.385219826057544, 48.870162555019036], ""type"": ""Point""}";48.870162555019036,2.385219826057544
27 RUE PIAT;PARC DE BELLEVILLE (PARIS NATURE MAISON DE L'AIR);75020;1;Fermé pour travaux;PW0168;"{""coordinates"": [2.384924750509342, 48.87160514880642], ""type"": ""Point""}";48.87160514880642,2.384924750509342
12 RUE DU TELEGRAPHE;BIBLIOTHEQUE OSCAR WILDE;75020;1;Opérationnel;PW0061;"{""coordinates"": [2.399816293218798, 48.87202610578211], ""type"": ""Point""}";48.87202610578211,2.399816293218798
45-47 RUE DES COURONNES;SQUARE BELLEVILLE;75020;1;Opérationnel;PW0204;"{""coordinates"": [2.384806632308035, 48.8703088766318], ""type"": ""Point""}";48.8703088766318,2.384806632308035
1 RUE PAUL MEURICE;GYMNASE PAUL MEURICE;75020;1;Opérationnel;PW0085;"{""coordinates"": [2.412137679731794, 48.874026500733024], ""type"": ""Point""}";48.874026500733024,2.412137679731794
4/12 RUE DENOYEZ;CENTRE SPORTIF ALFRED NAKACHE;75020;1;Opérationnel;PW0071;"{""coordinates"": [2.378677035345246, 48.8714830647833], ""type"": ""Point""}";48.8714830647833,2.378677035345246
6 PLACE GAMBETTA;MAIRIE DU 20 EME;75020;1;Opérationnel;PW0018;"{""coordinates"": [2.3989977002640392, 48.865091139066706], ""type"": ""Point""}";48.865091139066706,2.3989977002640392
59 BOULEVARD DAVOUT;JARDIN GARE DE CHARONNE;75020;1;Opérationnel;PW0055;"{""coordinates"": [2.4105606441583802, 48.852312152208874], ""type"": ""Point""}";48.852312152208874,2.4105606441583802
92 RUE MERMOZ LA COURNEUVE;FOURRIERE LA COURNEUVE;93120;1;En étude;;"{""coordinates"": [2.408745633623746, 48.93254696974426], ""type"": ""Point""}";48.93254696974426,2.408745633623746
11 RUE DES CHAMPS BONNEUIL SUR MARNE;FOURRIERE BONNEUIL;94380;1;Opérationnel;PW0245;"{""coordinates"": [2.499478391866005, 48.76286105418927], ""type"": ""Point""}";48.76286105418927,2.499478391866005
